Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,149.94203186035156,21.690589904785156,17.82477569580078,25.55640411376953,5.903229600801243,71.04306182861328,64.0845962524414,78.00152740478515
February,132.615234375,21.693933486938477,17.854652404785156,25.5332088470459,5.221072219488189,71.04908027648926,64.13837432861328,77.95977592468262
March,203.400146484375,22.019378662109375,18.342103958129883,25.696657180786133,8.00787978284941,71.63488159179687,65.01578712463379,78.25398292541504
April,145.30702209472656,22.90483856201172,19.24429702758789,26.56538200378418,5.7207489013671875,73.2287094116211,66.63973464965821,79.81768760681152
May,107.49132537841797,23.73061180114746,19.959192276000977,27.502025604248047,4.2319419440322035,74.71510124206543,67.92654609680176,81.50364608764649
June,129.87088012695312,24.778703689575195,21.127880096435547,28.429529190063477,5.113026776651698,76.60166664123535,70.03018417358399,83.17315254211425
July,149.6400909423828,25.359464645385742,21.737506866455078,28.981428146362305,5.8913421630859375,77.64703636169433,71.12751235961915,84.16657066345215
August,131.85037231445312,25.768917083740234,22.0771541595459,29.460689544677734,5.1909595399391,78.38405075073243,71.73887748718262,85.02924118041992
September,138.20571899414062,25.653860092163086,21.79336929321289,29.514352798461914,5.441170039139395,78.17694816589355,71.2280647277832,85.12583503723144
October,166.303955078125,25.11064338684082,21.369901657104492,28.851390838623047,6.547399806225394,77.19915809631348,70.46582298278808,83.93250350952148
November,188.98167419433594,23.832969665527344,20.381553649902344,27.284391403198242,7.440223393477793,74.89934539794922,68.68679656982422,81.11190452575684
December,192.6049041748047,22.612117767333984,19.168048858642578,26.056180953979492,7.582870243102547,72.70181198120117,66.50248794555664,78.90112571716308
